"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","hd_involvement","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/d0c117d6-6a01-4747-b38e-73e71bfa24b6"" target = ""_blank"">PAR-25-296</a>","PAR","Limited Competition: Clinical and Translational Science Award (CTSA) Program: Collaborative and Innovative Acceleration Award (UG3/UH3 Clinical Trial Optional)",2024-12-11,2027-10-19,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/e0b5ed74-e0b1-46c7-93be-4d56d6f62161"" target = ""_blank"">RFA-EY-25-001</a>","RFA","BRAIN Initiative: New Concepts and Early-Stage Research for Recording and Modulation in the Nervous System (R21) (Clinical Trial Not Allowed)",2024-12-09,2026-06-15,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/c32471d8-ae64-4d6a-917c-430417bdd3c1"" target = ""_blank"">PAR-25-298</a>","PAR","Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Not Allowed)",2024-12-06,2028-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/b567a67a-14ca-41ca-840b-d6e6ff37a00c"" target = ""_blank"">PAR-25-242</a>","PAR","Mobile Health: Technology and Outcomes in Low and Middle Income Countries (R21/R33 - Clinical Trial Optional)",2024-12-04,2026-03-20,"Closed","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/322e2417-4b14-4e57-a487-142850f52e2f"" target = ""_blank"">PAR-25-134</a>","PAR","Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Not Allowed)",2024-12-02,2028-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/72c16e90-9e1f-4fa0-8d67-db0423301955"" target = ""_blank"">PAR-25-265</a>","PAR","Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R01 - Clinical Trial Optional)",2024-12-02,2027-11-16,"Posted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/f2962c5c-c50f-441d-b0c3-7a5aedbf597d"" target = ""_blank"">PAR-25-266</a>","PAR","Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R21 - Clinical Trial Optional)",2024-12-02,2027-11-16,"Posted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/0417c296-308c-43ab-aebb-6be71b75ae0c"" target = ""_blank"">PAR-25-272</a>","PAR","New Approaches for Measuring Brain Changes Across Longer Timespans (R21 Clinical Trial Optional)",2024-11-25,2027-05-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/6ec9450d-7683-4f5d-87b1-069b65a7e8ca"" target = ""_blank"">PAR-25-279</a>","PAR","New Approaches for Measuring Brain Changes Across Longer Timespans (R01 Clinical Trial Optional)",2024-11-25,2027-05-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/b0ee3f1a-589d-46e6-8447-74d6a4b9c2ef"" target = ""_blank"">PAR-25-148</a>","PAR","Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Required)",2024-11-21,2028-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/fa656459-2462-4359-b0b1-9ebc8c921d57"" target = ""_blank"">RFA-NS-25-016</a>","RFA","BRAIN Initiative: Promoting Health for All Through BRAIN Technology Partnerships (R34 - Clinical Trials Not Allowed)",2024-11-21,2026-06-17,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/50f3efc1-a95b-419c-bd5e-b89edc3dc80c"" target = ""_blank"">PA-25-125</a>","PA","NICHD Small Research Grant Program (R03 Clinical Trial Required)",2024-11-18,2028-01-07,"Posted","Unclassified","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/f082b8b8-b52e-4d36-ab96-25d6af5e0097"" target = ""_blank"">PA-25-126</a>","PA","NICHD Small Research Grant Program (R03 Basic Experimental Studies with Humans Required)",2024-11-18,2028-01-07,"Posted","Unclassified","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/63fcde7a-720c-4416-a5e1-1c280bd97345"" target = ""_blank"">PAR-25-110</a>","PAR","Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional)",2024-11-18,2026-05-07,"Posted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/95e84b4a-2f4e-4871-aaa5-6425fea4166f"" target = ""_blank"">PAR-25-111</a>","PAR","Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional)",2024-11-18,2026-05-07,"Posted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/ce7b2eb1-fb49-4460-81ea-04064394eaf4"" target = ""_blank"">PAR-25-112</a>","PAR","Advancement and Innovation in Measurement of Language Development and Predictors (R01 Clinical Trial Not Allowed)",2024-11-18,2027-09-07,"Posted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/85add0d5-8e02-48d7-b38f-77095c7a8c98"" target = ""_blank"">PAR-25-113</a>","PAR","Advancement and Innovation in Measurement of Language Development and Predictors (R21 Clinical Trial Not Allowed)",2024-11-18,2027-09-07,"Posted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/da13f6fa-c132-4963-9339-3c75046c75e8"" target = ""_blank"">PAR-25-124</a>","PAR","NCMRR Early Career Research Award (R03 Clinical Trial Optional)",2024-11-18,2028-01-07,"Posted","Rehabilitation","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/50071472-0dd1-45a4-bcb7-34b4b1a84bd0"" target = ""_blank"">RFA-MH-26-170</a>","RFA","BRAIN Initiative: Development and Validation of Novel Tools to Probe Cell-Specific and Circuit-Specific Processes in the Brain (R01 Clinical Trial Not Allowed)",2024-11-15,2027-02-08,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/e9c27c69-7360-4e0f-beb5-7ef69876f00c"" target = ""_blank"">PAR-25-227</a>","PAR","Natural History of Disorders Screenable in the Newborn Period (R01 Clinical Trial Optional)",2024-11-06,2028-01-07,"Posted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/79bd256b-e836-4899-86eb-ceaf14042fcc"" target = ""_blank"">RFA-NS-25-021</a>","RFA","BRAIN Initiative:  Next-Generation Devices for Recording and Modulation in the Human Central Nervous System (UG3/UH3 Clinical Trial Optional)",2024-11-05,2026-09-28,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/e8fa23e6-e271-4efc-81dd-9237047fde5e"" target = ""_blank"">RFA-NS-25-022</a>","RFA","BRAIN Initiative: Clinical Studies to Advance Next-Generation Devices for Recording and Modulation in the Human Central Nervous System (UH3 Clinical Trial Optional)",2024-11-05,2026-09-28,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/1380cf9c-4561-45a6-a85d-7866dd308ef0"" target = ""_blank"">PAR-25-143</a>","PAR","Dissemination and Implementation Research in Health (R21 Clinical Trial Optional)",2024-10-31,2028-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/06339d3e-1543-4697-a7ed-345670f2bc0a"" target = ""_blank"">PAR-25-185</a>","PAR","Screening and Functional Validation of Genomic Variants Associated with Human Congenital Anomalies (R01 Clinical Trial Not Allowed)",2024-10-30,2028-01-07,"Posted","Developmental Biology;Pediatrics","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/04cf4e58-5a89-47a9-b4c7-a1388edac495"" target = ""_blank"">PAR-25-233</a>","PAR","Dissemination and Implementation Research in Health (R03 Clinical Trial Not Allowed)",2024-10-30,2028-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/1fd3d671-8469-40ac-bbd6-adac625cf082"" target = ""_blank"">PAR-25-144</a>","PAR","Dissemination and Implementation Research in Health (R01 Clinical Trial Optional)",2024-10-29,2028-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/b2df416d-b6cd-4412-bb34-6984d8a9f8b4"" target = ""_blank"">RFA-MH-26-140</a>","RFA","BRAIN Initiative: Brain Behavior Quantification and Synchronization- Next Generation Sensor Technology Development (U01 Clinical Trial Optional)",2024-10-23,2027-06-15,"Posted","Unclassified","HD Secondary","2026-03-25"
