"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/ca4b0eed-ef31-4a8c-961f-65955cce9cfc"" target = ""_blank"">RFA-CA-26-011</a>","RFA","Single source: Childhood Cancer Survivor Study (U24 Clinical Trial Not Allowed)",2026-03-18,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/3021f11a-dd6c-4d15-9406-c2d7594a2e79"" target = ""_blank"">PAR-27-008</a>","PAR","Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers",2026-03-16,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/e9757eee-7beb-4f2d-ab72-fe511b6c513c"" target = ""_blank"">PAR-26-150</a>","PAR","Early-Onset Cancers: Investigating Etiology, Mechanisms, and Early Detection Strategies (RP1 Clinical Trials Optional)",2026-03-10,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/b3050431-1e08-4019-93ff-ee83b69abe98"" target = ""_blank"">PAR-26-119</a>","PAR","NEI Collaborative Clinical Vision Research (UG1 - Clinical Trial Optional)",2026-03-03,NA,"Forecasted","Rehabilitation","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/703509fe-0d61-4f19-9a44-59d02da62ba4"" target = ""_blank"">PAR-26-124</a>","PAR","HEAL Initiative Whole Joint Health Program",2026-02-17,NA,"Forecasted","Rehabilitation; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/3820f2c5-4b44-47ad-8a29-9f6084d60bb2"" target = ""_blank"">PAR-26-092</a>","PAR","Pilot and Feasibility Studies in Preparation for Substance Use and HIV Prevention Intervention and Services Research Trials",2026-01-26,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/74cd709c-c350-4c08-a6b5-4045632749d6"" target = ""_blank"">RFA-CA-25-035</a>","RFA","Limited Competition: Biospecimen Banks to support NCI National Clinical Trials Network Biospecimen Banks (NCTN Biobanks) and the NCI Early-Phase and Experimental Clinical Trials Biospecimen Bank (EET Biobank) (U24 Clinical Trial Not Allowed)",2026-01-13,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/63dddfa9-c9f7-4da4-b0f8-ee56e73457c6"" target = ""_blank"">PAR-26-115</a>","PAR","Institutional Network Award for Promoting Kidney, Urologic, and Hematologic Research Training (U2C - Clinical Trial Not Allowed)",2025-12-10,2028-05-26,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/4ed18a56-4304-49a2-b9b4-87b4d78eb4f1"" target = ""_blank"">RFA-DK-26-310</a>","RFA","Diabetes Research Centers (P30 Clinical Trial Optional)",2025-12-05,2027-01-27,"Posted","Reproductive Health","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/7088f3f8-0aad-4f2e-afa1-f53b59efa54d"" target = ""_blank"">RFA-ES-26-004</a>","RFA","Pediatric and Reproductive Environmental Health Scholars (PREHS) Program",2025-12-02,NA,"Forecasted","Reproductive Health; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/112a0e4f-edb3-44dd-9443-892840371b24"" target = ""_blank"">RFA-DK-27-117</a>","RFA","The NIDDK Disorders of Gastrointestinal Interoception Consortium Clinical Centers (DGIC)",2025-09-18,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/cf0d0679-8e43-4034-833b-0aa6cca9a1de"" target = ""_blank"">RFA-DK-27-118</a>","RFA","The NIDDK Disorders of Gastrointestinal Interoception Consortium Clinical Centers (DGIC)",2025-09-18,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/95d8c541-2ee0-40cc-960c-61b524d2babd"" target = ""_blank"">PAR-26-043</a>","PAR","Silvio O. Conte Centers for Basic Neuroscience or Translational Mental Health Research",2025-09-12,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/96ebf1ff-7ddc-429d-b059-15cc5f577eec"" target = ""_blank"">PAR-26-049</a>","PAR","Establishing Pediatric CNS Pharmacodynamic Measures as Tools to Enable Psychiatric Indications in Adolescents",2025-09-12,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/fc68f56a-b886-4021-bc6a-504a277f2ffb"" target = ""_blank"">PAR-26-051</a>","PAR","NIH Brain Development Cohorts (NBDC) and Population Assessment of Tobacco and Health (PATH) Study Biospecimen Access",2025-09-10,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/6044773a-6221-44e4-81e9-e61c47d4119a"" target = ""_blank"">PAR-26-064</a>","PAR","Specialized Programs of Research Excellence (SPOREs) in Human Cancers for Years 2027, 2028, and 2029 (P50 Clinical Trial Required)",2025-09-09,NA,"Forecasted","Reproductive Health; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/d92a6645-61df-4765-8caa-4db9aa678c6e"" target = ""_blank"">RFA-AG-26-011</a>","RFA","NIA Expanding Research in AD/ADRD (ERA) Summer Research Education Program (R25 Independent Clinical Trial Not Allowed)",2025-09-02,2027-05-26,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/d87d3264-4bd8-470d-9b31-29bebd33c707"" target = ""_blank"">PAR-26-069</a>","PAR","NINDS Efficacy and Exploratory Clinical Trials (UG3/UH3 - Clinical Trial Required)",2025-08-28,NA,"Forecasted","Rehabilitation; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/98857886-def1-4563-8bf7-f7fa8787e5c5"" target = ""_blank"">RFA-NS-25-031</a>","RFA","HEAL Initiative: Pain Management Effectiveness Research Network: Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required)",2025-08-28,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/e905063d-e7c8-4dbf-aa9f-a16c879e084f"" target = ""_blank"">RFA-NS-26-007</a>","RFA","BRAIN Initiative: Research Opportunities Using Invasive Neural Recording and Stimulating Technologies in the Human Brain (U01 Basic Experimental Studies with Humans Required)",2025-08-28,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/ffe98704-96a8-4f41-a32b-49edd0409006"" target = ""_blank"">RFA-NS-26-011</a>","RFA","BRAIN Initiative: Integrative Team-Research BRAIN Circuits Program - iTeamBCP (RM1 Clinical Trial Optional)",2025-08-28,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/91048663-1b10-45b7-9d7a-c76709a880f1"" target = ""_blank"">FOR-TEMP-25653</a>","UNK","Biomarkers of Cognitive Decline and Dementias of Aging in Individuals within the Autism Spectrum",2025-06-27,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/2cefef55-df48-49f9-a95a-7719dae29481"" target = ""_blank"">FOR-TR-27-002</a>","UNK","Extracellular Vesicle Therapeutics for Regenerative Medicine (ExTReMe)",2025-06-27,NA,"Forecasted","Developmental Biology; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/1068d706-36d8-4f1d-ac25-c3233f27669a"" target = ""_blank"">FOR-TR-27-003</a>","UNK","Selective Precision Targeting (SPoT)",2025-06-27,NA,"Forecasted","Pregnancy & Lactation; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/646e27d6-2e72-4093-8fdc-700e57d0cbc6"" target = ""_blank"">PAR-25-437</a>","PAR","Environmental influences on Child Health Outcomes (ECHO) Cohort Data and Biospecimen Access (X01 Clinical Trial Not Allowed)",2025-06-18,2028-03-01,"Posted","Pregnancy & Lactation; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/748bc51b-4220-4298-ad1d-8071fb390b66"" target = ""_blank"">FOR-AI-27-001</a>","UNK","Martin Delaney Collaboratories for HIV Cure Research",2025-06-10,NA,"Forecasted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/f3cb924d-cdec-4df6-b814-fe02e359a6bb"" target = ""_blank"">FOR-NR-25-001</a>","UNK","Advancing Nutrition-related Research Across the Lifespan",2025-05-28,NA,"Forecasted","Pregnancy & Lactation; Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/0c5675b4-593c-43e4-acf1-be95b0ce56c6"" target = ""_blank"">FOR-NR-25-002</a>","UNK","Leveraging Nursing Research to Advance Healthy School Environments for All",2025-05-28,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/4abe9c3d-1440-49c8-8e79-afc7650a4c56"" target = ""_blank"">NOT-AI-25-032</a>","UNK","Limited Competition: International epidemiology Databases to Evaluate AIDS (IeDEA) (U01 Clinical Trial Not Allowed)",2025-05-27,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/4df75ddd-298f-4d70-9808-1fea9dfed914"" target = ""_blank"">NOT-AA-25-006</a>","UNK","Forecast to Publish a Funding Opportunity Announcement for the Consortium on the Neurobiology of Adolescent Drinking in Adulthood (NADIA) Administrative Resource (Collaborative U24 - Clinical Trials not allowed)",2025-05-22,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/94fb1ce5-b19a-4f48-9b88-d0ea1fdace24"" target = ""_blank"">NOT-AA-25-007</a>","UNK","Forecast to Publish a Funding Opportunity Announcement for the Consortium on the Neurobiology of Adolescent Drinking in Adulthood (NADIA) Research Resource (Collaborative U24 - Clinical Trials not allowed)",2025-05-22,NA,"Forecasted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/be45d1d0-0dd3-4e97-b104-00fe89bd65ce"" target = ""_blank"">NOT-AA-25-013</a>","UNK","Limited Competition for the Continuation of the National Consortium on Alcohol and Neurodevelopment in Adolescence (NCANDA) Administrative Resource (U24 Clinical Trials Optional)",2025-05-22,NA,"Forecasted","Pediatrics","2026-07-06"
